# guest=45684 ir=276985 host_bytes=1636864 ir/guest=6.06 hostinsn/guest=8.96 dyn_total=650398

mnemonic	form	mem	bits	n	%n	ir/g	hostI/g	%IR	%host	dyn%	dyn_host%	top IR ops (per guest insn)
PALIGNR	r,r	-	128	6	0.01	8.50	8.50	0.02	0.01	0.00	0.00	LoadUniformx2.5 StoreUniformx2.0 Orx1.0 LslImmx1.0 AdvancePCx1.0
MOVDQA	r,m	[b+d]	128	10	0.02	5.00	5.10	0.02	0.01	0.00	0.00	AdvancePCx1.0 StoreUniformx1.0 LoadMemoryx1.0 GetOperandx1.0 GetHostGPRx0.9
FXCH	-	-	0	10	0.02	5.00	31.00	0.02	0.08	0.00	0.00	LoadImmx2.0 AdvancePCx1.0 CallLambdax1.0 GetUniformAddressx1.0
FADDP	-	-	0	10	0.02	5.00	32.00	0.02	0.08	0.00	0.00	LoadImmx2.0 AdvancePCx1.0 CallLambdax1.0 GetUniformAddressx1.0
MOVDQA	m,r	[b+d]	128	10	0.02	5.00	5.40	0.02	0.01	0.00	0.00	BitCastx1.6 AdvancePCx1.0 StoreMemoryx1.0 GetOperandx1.0 LoadUniformx0.4
CMOVLE	r,r	-	64	6	0.01	8.00	10.00	0.02	0.01	0.00	0.00	LoadUniformx2.0 LoadImmx2.0 Selectx1.0 StoreUniformx1.0 CondSelectx1.0
CMOVAE	r,r	-	64	6	0.01	8.00	8.50	0.02	0.01	0.00	0.00	AdvancePCx1.0 TestZerox1.0 Selectx1.0 Xorx1.0 BitCastx1.0
MOVUPS	m,r	[rip]	128	12	0.03	4.00	5.25	0.02	0.02	0.00	0.00	AdvancePCx1.0 GetOperandx1.0 StoreMemoryx1.0 BitCastx0.8 LoadUniformx0.2
CMOVL	r,r	-	64	6	0.01	8.00	9.00	0.02	0.01	0.00	0.00	LoadImmx2.0 Selectx1.0 LoadUniformx1.0 StoreUniformx1.0 CondSelectx1.0
MOVSX	r,m	[b+d]	64	8	0.02	6.00	5.50	0.02	0.01	0.00	0.00	StoreUniformx1.0 AdvancePCx1.0 SignExtendx1.0 LoadMemoryx1.0 GetOperandx1.0
MOVSX	r,r	-	32	8	0.02	6.00	5.00	0.02	0.01	0.01	0.00	StoreUniformx1.0 ZeroExtend64x1.0 ZeroExtend32x1.0 AdvancePCx1.0 SignExtendx1.0
ADD	m,r	[b+d]	32	4	0.01	12.00	19.00	0.02	0.02	0.01	0.03	GetOperandx2.0 GetHostGPRx2.0 StoreMemoryx1.0 StoreUniformx1.0 AdvancePCx1.0
MOVAPD	r,m	[rip]	128	12	0.03	4.00	6.00	0.02	0.02	0.00	0.00	AdvancePCx1.0 StoreUniformx1.0 LoadMemoryx1.0 GetOperandx1.0
BTS	m,i	[rip]	32	2	0.00	23.00	51.00	0.02	0.02	0.00	0.00	LoadImmx6.0 ZeroExtend64x2.0 Andx2.0 LslValuex2.0 Addx2.0
MOVQ	r,r	-	64	15	0.03	3.00	1.87	0.02	0.01	0.00	0.00	AdvancePCx1.0 StoreUniformx1.0 LoadUniformx0.9 BitCastx0.1
MOVDQU	r,m	[b+d]	128	9	0.02	5.00	5.67	0.02	0.01	0.00	0.00	AdvancePCx1.0 LoadMemoryx1.0 GetOperandx1.0 StoreUniformx1.0 BitCastx0.7
PCMPEQD	r,r	-	128	9	0.02	5.00	3.33	0.02	0.01	0.00	0.00	LoadUniformx1.3 AdvancePCx1.0 StoreUniformx1.0 VecCmpEqx1.0 BitCastx0.7
MOVUPS	r,m	[b+d]	128	9	0.02	5.00	6.00	0.02	0.01	0.00	0.00	AdvancePCx1.0 StoreUniformx1.0 LoadMemoryx1.0 GetOperandx1.0 LoadUniformx1.0
MOVHPS	r,m	[b+d]	128	9	0.02	5.00	4.00	0.02	0.01	0.00	0.00	AdvancePCx1.0 StoreUniformx1.0 LoadMemoryx1.0 GetOperandx1.0 GetHostGPRx0.7
JL	imm	-	8	15	0.03	3.00	5.00	0.02	0.02	0.00	0.00	LoadImmx2.0 CondSelectx1.0
FLDZ	-	-	0	9	0.02	5.00	31.00	0.02	0.07	0.00	0.00	LoadImmx2.0 AdvancePCx1.0 CallLambdax1.0 GetUniformAddressx1.0
MOV	m,i	[abs]	32	6	0.01	7.00	6.00	0.02	0.01	0.00	0.00	StoreMemoryx1.0 ZeroExtend32x1.0 GetOperandx1.0 Addx1.0 LoadUniformx1.0
PMINUB	r,m	[b+d]	128	6	0.01	7.00	6.50	0.02	0.01	0.00	0.00	BitCastx1.5 AdvancePCx1.0 StoreUniformx1.0 LoadMemoryx1.0 VecMinx1.0
POPF	-	-	0	1	0.00	41.00	58.00	0.01	0.01	0.00	0.00	Andx7.0 LsrImmx7.0 LoadImmx4.0 SaveFlagsx4.0 Orx3.0
CMPXCHG16B	m	[rip]	128	2	0.00	20.00	66.00	0.01	0.03	0.00	0.00	StoreUniformx2.0 Xorx2.0 VecExtract64x2.0 LoadUniformx2.0 AdvancePCx1.0
AND	m,r	[rip]	64	4	0.01	10.00	19.50	0.01	0.02	0.00	0.00	GetOperandx1.8 LoadImmx1.2 StoreUniformx1.0 AdvancePCx1.0 Andx1.0
XADD	m,r	[b]	64	4	0.01	10.00	39.25	0.01	0.04	0.00	0.00	StoreUniformx2.0 AdvancePCx1.0 LoadImmx1.0 SaveFlagsx1.0 GetOperandx1.0
SUB	r,m	[b]	64	4	0.01	10.00	18.00	0.01	0.02	0.00	0.01	StoreUniformx2.0 AdvancePCx1.0 LoadImmx1.0 SaveFlagsx1.0 Subx1.0
AND	r,m	[b+d]	8	4	0.01	10.00	11.00	0.01	0.01	0.00	0.00	StoreUniformx2.0 ClearFlagsx1.0 Andx1.0 GetOperandx1.0 LoadMemoryx1.0
SETG	r	-	8	5	0.01	8.00	10.00	0.01	0.01	0.00	0.00	LoadImmx4.0 AdvancePCx1.0 Selectx1.0 StoreUniformx1.0 CondSelectx1.0
MOV	m,r	[b+i*s+d]	32	9	0.02	4.44	4.22	0.01	0.01	0.00	0.00	LoadUniformx1.4 StoreMemoryx0.7 GetOperandx0.7 AdvancePCx0.7 Subx0.4
ADD	m,i	[rip]	64	4	0.01	10.00	20.25	0.01	0.02	0.00	0.00	LoadImmx3.5 StoreMemoryx1.0 StoreUniformx1.0 SaveFlagsx1.0 Addx1.0
MOV	m,r	[b+d]	16	8	0.02	5.00	5.88	0.01	0.01	0.00	0.00	LoadUniformx1.5 AdvancePCx1.0 StoreMemoryx1.0 GetOperandx1.0 BitExtractx0.5
SUB	m,i	[rip]	64	4	0.01	10.00	21.00	0.01	0.02	0.00	0.00	GetOperandx2.0 LoadImmx2.0 StoreMemoryx1.0 StoreUniformx1.0 Subx1.0
MULPS	r,r	-	128	8	0.02	5.00	195.00	0.01	0.38	0.00	0.00	AdvancePCx1.0 LoadUniformx1.0 VecFMulx1.0 StoreUniformx1.0 BitCastx1.0
ADDPD	r,r	-	128	8	0.02	5.00	98.00	0.01	0.19	0.00	0.00	BitCastx2.0 AdvancePCx1.0 VecFAddx1.0 StoreUniformx1.0
MULPD	r,r	-	128	8	0.02	5.00	98.75	0.01	0.19	0.00	0.00	BitCastx1.2 AdvancePCx1.0 VecFMulx1.0 StoreUniformx1.0 LoadUniformx0.8
JGE	imm	-	8	13	0.03	3.00	5.00	0.01	0.02	0.00	0.00	LoadImmx2.0 CondSelectx1.0
ADD	m,r	[rip]	64	4	0.01	9.50	25.00	0.01	0.02	0.00	0.00	LoadImmx2.8 StoreUniformx1.0 SaveFlagsx1.0 Addx1.0 AdvancePCx1.0
RCR	r,i	-	64	1	0.00	36.00	38.00	0.01	0.01	0.00	0.00	LoadImmx5.0 Subx4.0 Andx4.0 StoreUniformx2.0 LsrImmx2.0
PUSHF	-	-	0	1	0.00	36.00	45.00	0.01	0.01	0.00	0.00	ZeroExtend64x7.0 Orx7.0 LslImmx7.0 TestFlagsx6.0 LoadUniformx2.0
ADD	m,i	[b+d]	64	3	0.01	12.00	20.00	0.01	0.01	0.49	1.13	GetOperandx2.0 GetHostGPRx2.0 LoadImmx2.0 StoreMemoryx1.0 StoreUniformx1.0
SHR	r,r	-	64	2	0.00	18.00	18.00	0.01	0.01	0.06	0.13	Andx3.0 LsrValuex2.0 SetHostGPRx1.0 BindLabelx1.0 StoreUniformx1.0
ADD	m,r	[b]	32	3	0.01	12.00	19.00	0.01	0.01	0.00	0.00	GetOperandx2.0 LoadUniformx2.0 StoreMemoryx1.0 StoreUniformx1.0 SaveFlagsx1.0
BT	r,r	-	64	3	0.01	12.00	13.00	0.01	0.01	0.00	0.00	Andx2.0 StoreUniformx1.0 AdvancePCx1.0 LoadImmx1.0 SaveFlagsx1.0
MOVQ	m,r	[rip]	64	9	0.02	4.00	5.00	0.01	0.01	0.00	0.00	AdvancePCx1.0 GetOperandx1.0 StoreMemoryx1.0 LoadUniformx1.0
ADD	r,m	[b+d]	32	3	0.01	12.00	19.00	0.01	0.01	0.00	0.00	StoreUniformx2.0 ZeroExtend64x1.0 SaveFlagsx1.0 ZeroExtend32x1.0 GetOperandx1.0
OR	m,i	[b]	32	3	0.01	12.00	12.00	0.01	0.01	0.00	0.00	GetOperandx2.0 LoadUniformx2.0 LoadImmx2.0 StoreUniformx1.0 StoreMemoryx1.0
CMP	m,i	[b]	64	4	0.01	9.00	15.00	0.01	0.01	0.00	0.00	LoadImmx2.0 StoreUniformx1.0 SaveFlagsx1.0 Subx1.0 LoadMemoryx1.0
MOVAPD	r,r	-	128	12	0.03	3.00	1.33	0.01	0.00	0.00	0.00	AdvancePCx1.0 StoreUniformx1.0 BitCastx0.7 LoadUniformx0.3
MOVDQA	r,m	[b]	128	7	0.02	5.00	5.00	0.01	0.01	0.00	0.00	AdvancePCx1.0 StoreUniformx1.0 LoadMemoryx1.0 GetOperandx1.0 GetHostGPRx0.9
FADD	m	[rip]	64	7	0.02	5.00	32.00	0.01	0.05	0.00	0.00	AdvancePCx1.0 CallLambdax1.0 LoadImmx1.0 GetUniformAddressx1.0 GetOperandx1.0
FLDCW	m	[rip]	16	7	0.02	5.00	32.00	0.01	0.05	0.00	0.00	AdvancePCx1.0 CallLambdax1.0 LoadImmx1.0 GetUniformAddressx1.0 GetOperandx1.0
RCL	r,i	-	64	1	0.00	34.00	36.00	0.01	0.01	0.00	0.00	LoadImmx5.0 Subx4.0 Andx3.0 StoreUniformx2.0 Orx2.0
DIV	m	[b+d]	64	3	0.01	11.00	62.00	0.01	0.05	0.00	0.00	StoreUniformx2.0 CallLambdax2.0 BitCastx2.0 AdvancePCx1.0 ZeroExtend64x1.0
CMP	m,i	[b+i*s+d]	32	3	0.01	11.00	18.00	0.01	0.01	0.00	0.00	LoadImmx2.0 StoreUniformx1.0 SaveFlagsx1.0 Subx1.0 LoadMemoryx1.0
JNS	imm	-	32	10	0.02	3.20	5.00	0.01	0.01	0.00	0.00	LoadImmx2.0 CondSelectx1.0 AdvancePCx0.2
MOV	m,i	[b+i*s+d]	32	4	0.01	8.00	8.00	0.01	0.01	0.00	0.00	LoadUniformx2.0 StoreMemoryx1.0 GetOperandx1.0 ZeroExtend32x1.0 Subx1.0
MOVSXD	r,m	[b]	64	5	0.01	6.00	5.40	0.01	0.01	0.99	0.61	StoreUniformx1.0 LoadMemoryx1.0 GetOperandx1.0 AdvancePCx1.0 SignExtendx1.0
PMINUB	r,r	-	128	6	0.01	5.00	2.00	0.01	0.00	0.00	0.00	BitCastx2.0 AdvancePCx1.0 VecMinx1.0 StoreUniformx1.0
PUNPCKLBW	r,r	-	128	6	0.01	5.00	4.00	0.01	0.01	0.01	0.00	LoadUniformx2.0 AdvancePCx1.0 StoreUniformx1.0 VecZipx1.0
PSUBQ	r,r	-	128	6	0.01	5.00	2.00	0.01	0.00	0.00	0.00	BitCastx2.0 AdvancePCx1.0 VecSubx1.0 StoreUniformx1.0
MOVQ	m,r	[b+d]	64	6	0.01	5.00	3.00	0.01	0.00	0.00	0.00	AdvancePCx1.0 StoreMemoryx1.0 GetOperandx1.0 GetHostGPRx1.0 BitCastx1.0
CMOVG	r,r	-	32	3	0.01	10.00	12.00	0.01	0.01	0.00	0.00	LoadImmx2.0 StoreUniformx1.0 ZeroExtend64x1.0 ZeroExtend32x1.0 AdvancePCx1.0
MOVUPS	r,m	[b]	128	6	0.01	5.00	5.50	0.01	0.01	0.00	0.00	AdvancePCx1.0 StoreUniformx1.0 LoadMemoryx1.0 GetOperandx1.0 LoadUniformx1.0
PUNPCKHDQ	r,r	-	128	6	0.01	5.00	2.00	0.01	0.00	0.00	0.00	BitCastx2.0 AdvancePCx1.0 VecZipx1.0 StoreUniformx1.0
PUNPCKLWD	r,r	-	128	6	0.01	5.00	2.00	0.01	0.00	0.01	0.00	BitCastx2.0 AdvancePCx1.0 VecZipx1.0 StoreUniformx1.0
CMOVB	r,m	[b+d]	64	3	0.01	10.00	11.00	0.01	0.01	0.00	0.00	AdvancePCx1.0 StoreUniformx1.0 LoadMemoryx1.0 GetOperandx1.0 TestFlagsx1.0
JL	imm	-	32	10	0.02	3.00	5.00	0.01	0.01	0.00	0.00	LoadImmx2.0 CondSelectx1.0
FADD	m	[rip]	32	6	0.01	5.00	32.00	0.01	0.05	0.00	0.00	AdvancePCx1.0 CallLambdax1.0 LoadImmx1.0 GetUniformAddressx1.0 GetOperandx1.0
SHRD	r,r	-	64	1	0.00	29.00	34.00	0.01	0.01	0.00	0.00	Andx4.0 LoadImmx3.0 StoreUniformx2.0 LsrImmx2.0 Orx2.0
SHLD	r,r	-	64	1	0.00	28.00	32.00	0.01	0.01	0.00	0.00	Andx4.0 LoadImmx3.0 StoreUniformx2.0 LsrImmx2.0 Orx2.0
XADD	m,r	[rip]	64	3	0.01	9.00	41.00	0.01	0.03	0.00	0.00	StoreUniformx2.0 LoadImmx1.7 AdvancePCx1.0 AtomicFetchAddx1.0 SaveFlagsx1.0
CMOVZ	r,m	[rip]	64	3	0.01	9.00	12.00	0.01	0.01	0.00	0.00	LoadImmx3.0 StoreUniformx1.0 Selectx1.0 LoadUniformx1.0 CondSelectx1.0
CMOVAE	r,r	-	32	3	0.01	9.00	11.00	0.01	0.01	0.00	0.00	StoreUniformx1.0 ZeroExtend64x1.0 ZeroExtend32x1.0 Selectx1.0 LoadUniformx1.0
MOVSX	r,m	[b+i*s+d]	32	3	0.01	9.00	8.00	0.01	0.01	0.00	0.00	StoreUniformx1.0 ZeroExtend64x1.0 ZeroExtend32x1.0 LoadMemoryx1.0 GetOperandx1.0
OR	r,m	[b+d]	32	2	0.00	13.00	20.00	0.01	0.01	0.00	0.00	StoreUniformx2.0 AdvancePCx1.0 SaveFlagsx1.0 BitExtractx1.0 ZeroExtend64x1.0
FCOMIP	r,r	-	32	1	0.00	26.00	69.00	0.01	0.02	0.00	0.00	LoadImmx6.0 Andx3.0 SaveFlagsx3.0 Orx2.0 LsrImmx2.0
ADC	m,i	[rip]	64	2	0.00	12.50	50.50	0.01	0.02	0.00	0.00	LoadImmx3.0 StoreUniformx2.0 SaveFlagsx1.0 Adcx1.0 AtomicRMWx1.0
PSRLDQ	r,i	-	128	5	0.01	5.00	4.00	0.01	0.00	0.01	0.00	StoreUniformx2.0 AdvancePCx1.0 LoadImmx1.0 LoadUniformx1.0
MOV	m,i	[b]	16	5	0.01	5.00	3.00	0.01	0.00	0.00	0.00	AdvancePCx1.0 StoreMemoryx1.0 GetOperandx1.0 GetHostGPRx1.0 LoadImmx1.0
PSLLQ	r,i	-	128	5	0.01	5.00	7.00	0.01	0.01	0.00	0.00	AdvancePCx1.0 VecShiftLeftx1.0 StoreUniformx1.0 BitCastx1.0 LoadImmx1.0
BTC	m,i	[b]	32	1	0.00	24.00	50.00	0.01	0.01	0.00	0.00	LoadImmx6.0 ZeroExtend64x2.0 Andx2.0 Addx2.0 LslValuex2.0
BTR	m,i	[rip]	32	1	0.00	24.00	53.00	0.01	0.01	0.00	0.00	LoadImmx6.0 ZeroExtend64x2.0 Andx2.0 LslValuex2.0 Addx2.0
ADD	m,i	[b+d]	32	2	0.00	12.00	20.00	0.01	0.01	0.00	0.01	GetOperandx2.0 GetHostGPRx2.0 LoadImmx2.0 StoreMemoryx1.0 StoreUniformx1.0
MOV	m,r	[rip]	8	6	0.01	4.00	5.00	0.01	0.01	0.00	0.00	AdvancePCx1.0 StoreMemoryx1.0 GetOperandx1.0 GetHostGPRx0.5 LoadUniformx0.5
CQO	-	-	0	6	0.01	4.00	2.50	0.01	0.00	0.00	0.00	AdvancePCx1.0 AsrImmx1.0 StoreUniformx1.0 LoadUniformx0.5 BitCastx0.5
XCHG	m,r	[b]	32	3	0.01	8.00	29.00	0.01	0.02	0.00	0.00	StoreUniformx1.0 ZeroExtend64x1.0 GetOperandx1.0 ZeroExtend32x1.0 AtomicExchangex1.0
MOV	m,r	[rip]	16	6	0.01	4.00	4.50	0.01	0.01	0.00	0.00	AdvancePCx1.0 StoreMemoryx1.0 BitExtractx1.0 LoadImmx0.5 GetOperandx0.5
PUSH	imm	-	8	4	0.01	6.00	4.00	0.01	0.00	0.00	0.00	StoreMemoryx1.0 Subx1.0 GetHostGPRx1.0 SetHostGPRx1.0 AdvancePCx1.0
JO	imm	-	32	8	0.02	3.00	5.00	0.01	0.01	0.00	0.00	LoadImmx2.0 CondSelectx1.0
XADD	m,r	[rip]	32	2	0.00	11.00	44.00	0.01	0.02	0.00	0.00	StoreUniformx2.0 LoadImmx1.5 ZeroExtend64x1.0 ZeroExtend32x1.0 AtomicFetchAddx1.0
CMP	m,r	[b+i*s+d]	64	2	0.00	11.00	17.00	0.01	0.01	0.00	0.00	BitCastx1.5 StoreUniformx1.0 AdvancePCx1.0 LoadImmx1.0 SaveFlagsx1.0
MOVSX	r,m	[rip]	32	3	0.01	7.00	8.00	0.01	0.01	0.00	0.00	StoreUniformx1.0 GetOperandx1.0 LoadMemoryx1.0 ZeroExtend32x1.0 AdvancePCx1.0
MOV	m,r	[b+i*s+d]	8	3	0.01	7.00	5.67	0.01	0.00	0.00	0.00	LoadUniformx1.7 BitCastx1.3 GetOperandx1.0 AdvancePCx1.0 StoreMemoryx1.0
CMP	m,i	[b+d]	16	1	0.00	20.00	26.00	0.01	0.01	0.00	0.00	SaveFlagsx3.0 Subx3.0 LoadImmx3.0 LslImmx2.0 ZeroExtend32x2.0
FADD	r,r	-	32	4	0.01	5.00	31.00	0.01	0.03	0.00	0.00	LoadImmx2.0 AdvancePCx1.0 CallLambdax1.0 GetUniformAddressx1.0
ORPS	r,r	-	128	4	0.01	5.00	2.00	0.01	0.00	0.00	0.00	BitCastx2.0 AdvancePCx1.0 VecOrx1.0 StoreUniformx1.0
CMPLTPS	r,r	-	128	4	0.01	5.00	3.00	0.01	0.00	0.00	0.00	BitCastx2.0 AdvancePCx1.0 VecFCmpMaskx1.0 StoreUniformx1.0
ANDNPD	r,r	-	128	4	0.01	5.00	2.00	0.01	0.00	0.00	0.00	BitCastx2.0 AdvancePCx1.0 StoreUniformx1.0 VecAndNotx1.0
ANDPD	r,r	-	128	4	0.01	5.00	2.00	0.01	0.00	0.00	0.00	BitCastx2.0 AdvancePCx1.0 VecAndx1.0 StoreUniformx1.0
CMPLTPD	r,r	-	128	4	0.01	5.00	3.00	0.01	0.00	0.00	0.00	BitCastx2.0 AdvancePCx1.0 VecFCmpMaskx1.0 StoreUniformx1.0
ANDNPS	r,r	-	128	4	0.01	5.00	2.00	0.01	0.00	0.00	0.00	BitCastx2.0 AdvancePCx1.0 StoreUniformx1.0 VecAndNotx1.0
MOVAPD	m,r	[b+d]	128	4	0.01	5.00	6.00	0.01	0.01	0.00	0.00	AdvancePCx1.0 GetOperandx1.0 GetHostGPRx1.0 StoreMemoryx1.0 LoadUniformx1.0
ADDPS	r,r	-	128	4	0.01	5.00	194.50	0.01	0.19	0.00	0.00	BitCastx1.5 AdvancePCx1.0 VecFAddx1.0 StoreUniformx1.0 LoadUniformx0.5
ORPD	r,r	-	128	4	0.01	5.00	2.00	0.01	0.00	0.00	0.00	BitCastx2.0 AdvancePCx1.0 VecOrx1.0 StoreUniformx1.0
NEG	m	[rip]	64	2	0.00	9.00	42.00	0.01	0.02	0.00	0.00	LoadImmx3.0 StoreUniformx1.0 Subx1.0 AtomicRMWx1.0 SaveFlagsx1.0
XCHG	m,r	[b]	64	3	0.01	6.00	27.00	0.01	0.02	0.00	0.01	AdvancePCx1.0 BitCastx1.0 AtomicExchangex1.0 StoreUniformx1.0 GetOperandx1.0
MOV	m,r	[abs]	32	3	0.01	6.00	5.00	0.01	0.00	0.00	0.00	StoreMemoryx1.0 LoadUniformx1.0 GetOperandx1.0 Addx1.0 AdvancePCx1.0
MOV	m,i	[abs]	8	3	0.01	6.00	5.00	0.01	0.00	0.00	0.00	GetOperandx1.0 Addx1.0 StoreMemoryx1.0 LoadUniformx1.0 AdvancePCx1.0
MOV	m,r	[abs]	8	3	0.01	6.00	5.00	0.01	0.00	0.00	0.00	StoreMemoryx1.0 LoadUniformx1.0 GetOperandx1.0 Addx1.0 AdvancePCx1.0
OR	m,r	[b+d]	32	2	0.00	9.00	33.00	0.01	0.02	0.00	0.00	LoadImmx2.0 StoreUniformx1.0 ClearFlagsx1.0 AtomicRMWx1.0 AdvancePCx1.0
CMP	m,r	[b]	64	2	0.00	9.00	14.00	0.01	0.01	0.00	0.00	BitCastx2.0 StoreUniformx1.0 AdvancePCx1.0 LoadImmx1.0 Subx1.0
CMPXCHG	m,r	[b+d]	32	1	0.00	18.00	55.00	0.01	0.01	0.00	0.00	StoreUniformx2.0 Andx2.0 ZeroExtend32x1.0 TestZerox1.0 Xorx1.0
SBB	m,i	[rip]	64	1	0.00	17.00	53.00	0.01	0.01	0.00	0.00	LoadImmx4.0 SaveFlagsx2.0 StoreUniformx2.0 TestFlagsx2.0 Subx1.0
SETLE	r	-	8	2	0.00	8.00	10.00	0.01	0.00	0.00	0.00	LoadImmx4.0 AdvancePCx1.0 Selectx1.0 StoreUniformx1.0 CondSelectx1.0
SUB	m,r	[b+i*s+d]	64	1	0.00	16.00	22.00	0.01	0.01	0.00	0.00	BitCastx3.0 GetOperandx2.0 Addx2.0 LoadUniformx2.0 StoreMemoryx1.0
MOV	r,m	[b]	8	3	0.01	5.00	4.00	0.01	0.00	0.00	0.00	AdvancePCx1.0 StoreUniformx1.0 LoadMemoryx1.0 GetOperandx1.0 LoadUniformx1.0
XCHG	m,r	[rip]	64	3	0.01	5.00	26.00	0.01	0.02	0.00	0.00	AdvancePCx1.0 StoreUniformx1.0 BitCastx1.0 AtomicExchangex1.0 LoadImmx1.0
MOVAPS	r,m	[b]	128	3	0.01	5.00	4.00	0.01	0.00	0.00	0.00	AdvancePCx1.0 LoadMemoryx1.0 GetOperandx1.0 StoreUniformx1.0 BitCastx1.0
MOV	m,i	[b+i*s+d]	64	2	0.00	7.00	7.00	0.01	0.00	0.00	0.00	LoadUniformx2.0 GetOperandx1.0 Addx1.0 StoreMemoryx1.0 AdvancePCx1.0
CMOVA	r,r	-	32	1	0.00	14.00	18.00	0.01	0.00	0.00	0.00	LoadImmx2.0 SetHostGPRx1.0 BitExtractx1.0 ZeroExtend64x1.0 ZeroExtend32x1.0
BT	r,i	-	32	1	0.00	13.00	15.00	0.00	0.00	0.00	0.00	Andx2.0 LoadImmx2.0 ZeroExtend64x2.0 StoreUniformx1.0 SaveFlagsx1.0
JMP	m	[b+i*s+d]	64	2	0.00	6.00	4.00	0.00	0.00	0.00	0.00	BitCastx2.0 AdvancePCx1.0 SetLocationx1.0 LoadMemoryx1.0 GetOperandx1.0
(cet-ssp)	-	-	0	3	0.01	4.00	3.00	0.00	0.00	0.00	0.00	AdvancePCx1.0 Nopx1.0 StoreUniformx1.0 LoadImmx1.0
MOVAPS	m,r	[rip]	128	3	0.01	4.00	4.00	0.00	0.00	0.00	0.00	AdvancePCx1.0 StoreMemoryx1.0 LoadImmx1.0 BitCastx1.0
MOVDQA	r,m	[b+i*s+d]	128	2	0.00	6.00	6.00	0.00	0.00	0.00	0.00	AdvancePCx1.0 LoadMemoryx1.0 GetOperandx1.0 StoreUniformx1.0 BitCastx1.0
XADD	m,r	[b]	32	1	0.00	12.00	43.00	0.00	0.01	0.00	0.00	StoreUniformx2.0 ZeroExtend64x1.0 SaveFlagsx1.0 ZeroExtend32x1.0 GetOperandx1.0
DEC	m	[rip]	64	1	0.00	11.00	47.00	0.00	0.01	0.00	0.00	LoadImmx3.0 StoreUniformx1.0 SaveFlagsx1.0 AtomicRMWx1.0 GetOperandx1.0
SUB	m,i	[rip]	32	1	0.00	11.00	45.00	0.00	0.01	0.00	0.00	LoadImmx4.0 Subx2.0 StoreUniformx1.0 SaveFlagsx1.0 ZeroExtend32x1.0
XOR	m,i	[rip]	64	1	0.00	10.00	42.00	0.00	0.01	0.00	0.00	LoadImmx3.0 StoreUniformx1.0 SaveFlagsx1.0 AtomicRMWx1.0 ClearFlagsx1.0
OR	m,r	[rip]	64	1	0.00	10.00	41.00	0.00	0.01	0.00	0.00	LoadImmx2.0 StoreUniformx1.0 SaveFlagsx1.0 AdvancePCx1.0 Orx1.0
NOT	m	[rip]	64	2	0.00	5.00	30.00	0.00	0.01	0.00	0.00	LoadImmx2.0 AdvancePCx1.0 AtomicRMWx1.0 GetOperandx1.0
CMOVLE	r,r	-	32	1	0.00	10.00	12.00	0.00	0.00	0.00	0.00	LoadImmx2.0 StoreUniformx1.0 ZeroExtend64x1.0 ZeroExtend32x1.0 Selectx1.0
FDIV	r,r	-	32	2	0.00	5.00	31.00	0.00	0.02	0.00	0.00	LoadImmx2.0 AdvancePCx1.0 CallLambdax1.0 GetUniformAddressx1.0
FMUL	r,r	-	32	2	0.00	5.00	31.00	0.00	0.02	0.00	0.00	LoadImmx2.0 AdvancePCx1.0 CallLambdax1.0 GetUniformAddressx1.0
FILD	m	[rip]	32	2	0.00	5.00	32.00	0.00	0.02	0.00	0.00	AdvancePCx1.0 CallLambdax1.0 LoadImmx1.0 GetUniformAddressx1.0 GetOperandx1.0
XGETBV	-	-	0	3	0.01	3.00	5.00	0.00	0.00	0.00	0.00	StoreUniformx1.0 LoadImmx1.0 SetLocationx1.0
(rdseed)	-	-	0	1	0.00	9.00	36.00	0.00	0.01	0.00	0.00	LoadImmx3.0 AdvancePCx1.0 SetCarryx1.0 ClearFlagsx1.0 StoreUniformx1.0
RDRAND	r	-	64	1	0.00	9.00	36.00	0.00	0.01	0.00	0.00	LoadImmx3.0 AdvancePCx1.0 SetCarryx1.0 ClearFlagsx1.0 StoreUniformx1.0
CMP	r,m	[b]	64	1	0.00	9.00	18.00	0.00	0.00	0.00	0.00	LoadUniformx2.0 StoreUniformx1.0 AdvancePCx1.0 LoadImmx1.0 Subx1.0
CMP	r,m	[b+d]	32	1	0.00	9.00	16.00	0.00	0.00	0.00	0.00	StoreUniformx1.0 SaveFlagsx1.0 GetHostGPRx1.0 Subx1.0 GetOperandx1.0
MOVBE	r,m	[b+d]	32	1	0.00	8.00	7.00	0.00	0.00	0.00	0.00	AdvancePCx1.0 StoreUniformx1.0 GetOperandx1.0 LoadMemoryx1.0 ZeroExtend32x1.0
JP	imm	-	32	8	0.02	1.00	7.00	0.00	0.01	0.00	0.00	TestFlagsx1.0
XLAT	m	[b+i*s+d]	8	1	0.00	7.00	5.00	0.00	0.00	0.00	0.00	StoreUniformx1.0 LoadMemoryx1.0 ZeroExtend64x1.0 Addx1.0 AdvancePCx1.0
RDTSCP	-	-	0	1	0.00	7.00	28.00	0.00	0.01	0.00	0.00	ZeroExtend64x1.0 AdvancePCx1.0 LoadImmx1.0 ZeroExtend32x1.0 StoreUniformx1.0
PCMPEQB	r,m	[b]	128	1	0.00	7.00	7.00	0.00	0.00	0.00	0.00	AdvancePCx1.0 StoreUniformx1.0 VecCmpEqx1.0 LoadMemoryx1.0 GetOperandx1.0
