# guest=45684 ir=276985 host_bytes=1636864 ir/guest=6.06 hostinsn/guest=8.96 dyn_total=650398

mnemonic	form	mem	bits	n	%n	ir/g	hostI/g	%IR	%host	dyn%	dyn_host%	top IR ops (per guest insn)
SUB	r,m	[abs]	64	87	0.19	10.62	17.41	0.33	0.37	0.03	0.05	StoreUniformx1.9 SaveFlagsx1.0 AdvancePCx1.0 LoadImmx1.0 GetOperandx1.0
MOV	m,r	[rip]	32	218	0.48	4.00	4.93	0.31	0.26	0.02	0.01	AdvancePCx1.0 StoreMemoryx1.0 GetOperandx0.9 BitExtractx0.4 LoadUniformx0.4
MOV	r,m	[b]	32	122	0.27	6.96	6.11	0.31	0.18	0.53	0.37	AdvancePCx1.0 GetOperandx1.0 LoadMemoryx1.0 ZeroExtend32x1.0 ZeroExtend64x1.0
MOV	m,i	[b+d]	32	144	0.32	5.88	5.11	0.31	0.18	0.06	0.04	StoreMemoryx1.0 ZeroExtend32x1.0 GetOperandx1.0 AdvancePCx1.0 LoadImmx1.0
JA	imm	-	32	110	0.24	7.67	11.83	0.30	0.32	1.10	1.49	LoadImmx2.6 Andx0.9 CondSelectx0.9 TestZerox0.9 Xorx0.9
CMOVNZ	r,r	-	64	105	0.23	8.00	8.06	0.30	0.21	0.01	0.00	LoadImmx2.0 BitCastx1.9 Selectx1.0 CondSelectx1.0 AdvancePCx1.0
MOV	r,i	-	64	282	0.62	2.97	2.80	0.30	0.19	0.10	0.03	AdvancePCx1.0 LoadImmx1.0 StoreUniformx0.9 SetHostGPRx0.1
MOV	m,r	[b]	64	175	0.38	4.71	2.98	0.30	0.13	1.04	0.36	AdvancePCx0.9 GetOperandx0.9 StoreMemoryx0.9 BitCastx0.8 LoadUniformx0.7
CMP	m,i	[rip]	16	42	0.09	19.00	27.00	0.29	0.28	0.00	0.00	SaveFlagsx3.0 Subx3.0 LoadImmx3.0 LslImmx2.0 ZeroExtend32x2.0
OR	r,r	-	64	102	0.22	7.70	7.90	0.28	0.20	0.01	0.01	StoreUniformx1.9 BitCastx1.0 AdvancePCx0.9 LoadImmx0.9 ClearFlagsx0.9
SUB	r,i	-	32	76	0.17	10.00	17.24	0.27	0.32	0.20	0.40	LoadImmx2.0 StoreUniformx1.8 ZeroExtend64x1.0 ZeroExtend32x1.0 Subx1.0
MOV	r,m	[abs]	64	133	0.29	5.32	5.49	0.26	0.18	0.04	0.02	AdvancePCx0.9 LoadMemoryx0.9 GetOperandx0.9 Addx0.9 LoadUniformx0.9
JBE	imm	-	8	103	0.23	6.62	10.13	0.25	0.25	0.09	0.10	LoadImmx2.3 Orx0.8 CondSelectx0.8 TestNotZerox0.8 Xorx0.8
IMUL	r,r	-	32	29	0.06	22.72	31.24	0.24	0.22	0.75	2.68	ZeroExtend64x2.0 LslImmx2.0 Mulx2.0 SignExtendx2.0 StoreUniformx1.9
OR	r,r	-	32	64	0.14	10.30	12.28	0.24	0.19	0.03	0.04	StoreUniformx2.0 BitExtractx1.4 ZeroExtend32x1.0 AdvancePCx1.0 LoadImmx1.0
SAR	r,i	-	64	33	0.07	18.27	22.09	0.22	0.18	0.00	0.01	LoadImmx3.0 AsrValuex2.0 Andx2.0 StoreUniformx1.9 Subx1.0
CMP	m,i	[rip]	64	75	0.16	8.00	17.15	0.22	0.31	0.01	0.02	LoadImmx2.3 StoreUniformx1.0 Subx1.0 SaveFlagsx1.0 LoadMemoryx1.0
CMP	m,i	[b+d]	32	66	0.14	9.00	16.65	0.21	0.27	0.02	0.03	LoadImmx2.0 StoreUniformx1.0 SaveFlagsx1.0 Subx1.0 GetOperandx1.0
SUB	r,r	-	32	59	0.13	10.00	17.46	0.21	0.25	0.54	1.08	StoreUniformx2.0 ZeroExtend64x1.0 ZeroExtend32x1.0 AdvancePCx1.0 LoadImmx1.0
MOV	m,r	[b+d]	32	126	0.28	4.64	4.18	0.21	0.13	0.05	0.03	AdvancePCx0.9 GetOperandx0.9 StoreMemoryx0.9 GetHostGPRx0.8 LoadUniformx0.7
CMP	r,r	-	32	91	0.20	6.31	12.76	0.21	0.28	0.54	0.79	StoreUniformx0.9 AdvancePCx0.9 LoadImmx0.9 Subx0.9 SaveFlagsx0.9
NOT	r	-	32	98	0.21	5.82	5.82	0.21	0.14	0.01	0.00	StoreUniformx1.0 ZeroExtend64x1.0 ZeroExtend32x1.0 Xorx1.0 AdvancePCx1.0
MOV	m,r	[b+d]	8	112	0.25	5.00	4.90	0.20	0.13	0.50	0.28	AdvancePCx1.0 StoreMemoryx1.0 GetOperandx1.0 GetHostGPRx0.9 BitExtractx0.8
CMOVZ	r,r	-	64	69	0.15	8.00	8.30	0.20	0.14	1.00	0.95	LoadImmx2.0 BitCastx1.7 Selectx1.0 CondSelectx1.0 AdvancePCx1.0
DEC	r	-	32	38	0.08	13.84	23.84	0.19	0.22	0.03	0.08	StoreUniformx2.0 LoadImmx2.0 LoadUniformx1.9 ZeroExtend64x1.0 ZeroExtend32x1.0
ROL	r,i	-	64	23	0.05	22.00	25.26	0.18	0.14	0.03	0.09	Andx4.0 LoadImmx3.0 StoreUniformx2.0 BindLabelx1.0 Xorx1.0
OR	r,i	-	32	48	0.11	10.46	13.48	0.18	0.16	0.00	0.00	StoreUniformx2.0 LoadImmx2.0 ZeroExtend32x1.0 ZeroExtend64x1.0 ClearFlagsx1.0
OR	r,i	-	64	75	0.16	6.32	7.75	0.17	0.14	0.01	0.01	LoadImmx1.5 StoreUniformx1.5 Orx0.8 ClearFlagsx0.8 AdvancePCx0.8
MOVDQA	r,r	-	128	153	0.33	3.00	1.53	0.17	0.06	0.07	0.01	AdvancePCx1.0 StoreUniformx1.0 LoadUniformx0.5 BitCastx0.5
SETZ	r	-	8	57	0.12	8.00	10.00	0.16	0.14	0.01	0.01	LoadImmx4.0 AdvancePCx1.0 Selectx1.0 StoreUniformx1.0 CondSelectx1.0
CALL	m	[b+d]	64	40	0.09	11.25	18.80	0.16	0.18	0.00	0.01	LoadImmx1.6 GetHostGPRx1.4 LoadMemoryx1.0 GetOperandx1.0 SetLocationx1.0
MOV	m,r	[b]	32	81	0.18	5.32	4.46	0.16	0.09	0.02	0.01	AdvancePCx1.0 StoreMemoryx1.0 GetOperandx1.0 LoadUniformx1.0 BitExtractx0.7
